127.0.0.1 - - [05/Sep/2023:11:38:04 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:38:06 +0530] "GET /JDBC/welcome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:38:06 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:38:06 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:38:15 +0530] "GET /JDBC/website_signup.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:38:21 +0530] "GET /JDBC/save_data.jsp?fn=j&ln=j&userone=j&passone=j HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:38:21 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:38:25 +0530] "GET /JDBC/welcome.jsp?user=j&pass=k HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:38:25 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:38:35 +0530] "GET /JDBC/welcome.jsp?user=j&pass=j HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:38:39 +0530] "GET /JDBC/website_change_pass.jsp?id=11 HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:39:28 +0530] "GET /JDBC/welcome.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:39:28 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:39:31 +0530] "GET /JDBC/website_signup.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:10 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:13 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:13 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:15 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:15 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:16 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:16 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:16 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:16 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:17 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:17 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:17 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:17 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:17 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:17 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:18 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:18 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:18 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:18 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:18 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:18 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:19 +0530] "GET /JDBC/welcome.jsp?user=&pass= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:19 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:23 +0530] "GET /JDBC/welcome.jsp?user=j&pass=j HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:25 +0530] "GET /JDBC/website_change_pass.jsp?id=11 HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:48 +0530] "GET /JDBC/change_value.jsp?p=piyush&q=piyush&id=11 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:48 +0530] "GET /JDBC/website_login.jsp HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [05/Sep/2023:11:45:58 +0530] "GET /JDBC/welcome.jsp?user=j&pass=piyush HTTP/1.1" 200 373
